kata,negatif,positif
media,0,3
internasional,0,1
selengkapnya,0,1
instagram,0,1
jd,0,2
gunanya,1,1
bawaslu,0,2
mk,0,1
dkkp,0,1
bentuklah,0,1
om,0,5
resiko,0,1
pembangkangan,0,1
semesta,0,1
mayoritas,0,3
menang,2,3
didukung,0,1
bukti,1,1
otentik,0,1
biayanya,0,1
kpu,1,2
berani,0,3
memanipulasi,0,1
hasil,0,1
pilpres,1,1
kecuali,0,1
org,0,1
2nya,0,1
nekad,0,1
perduli,0,1
nasib,0,1
bangsa,1,1
negaranya,0,1
pokoknya,0,1
prabowo,0,3
nharus,0,1
presiden,1,3
nintinya,0,1
fer,0,1
pokeke,0,1
lawan,0,1
gorengan,0,1
pake,1,1
tolong,0,1
ditambahin,0,1
pendukung,2,2
bagus,0,3
nmassa,1,0
andaanda,1,0
nkedaulatan,1,0
konstitusi,1,0
terarah,1,0
kontrol,1,0
alhamdulillah,1,2
puisi,0,1
nw,0,1
munajat,0,1
akbar,0,1
dikabulkan,0,1
murka,1,0
diaceh,1,0
bencana,1,0
alam,1,0
sunami,1,0
des,1,0
2004ratusan,1,0
ribu,3,0
korban,1,0
menyadarkan,1,0
aceh,1,2
perjuangan,1,0
berkenandimata,1,0
tuhan,1,0
nbaiknya,1,0
berdamai,1,0
pemerintahpuluhan,1,0
wanita,1,0
janda,1,0
akibat,1,0
suami,1,0
diperjuangan,1,0
gam,2,0
gagalapakah,1,0
mengulangi,1,0
tsb,1,0
curang,4,1
tingal,1,0
diam,2,0
hadapi,1,0
pengkhianat,2,0
ntaruh,1,0
alamat,1,0
mu,1,0
sok,1,0
bener,1,0
dik,1,0
nmau,1,0
manganulir,1,0
pemilu,2,0
nnaif,1,0
gila,2,0
keracunan,1,0
kebanyakan,1,0
kekuasaan,2,0
kebodohan,1,0
henti,1,0
jason,1,0
ranti,1,0
ahy,2,1
ngaku,1,0
krn,4,1
urutan,1,0
ketiga,1,0
emang,1,1
ahmad,1,0
dani,1,0
ditahan,1,0
licik,0,1
aamiin,0,1
kayaknya,0,1
jokowi,0,3
yes,0,1
world,0,1
must,0,1
know,0,1
what,0,1
happen,0,1
at,0,1
indonesian,0,1
election,0,1
kelakuan,1,0
pendukungnya,1,0
mewakili,1,0
didukungnya,1,0
bilang,1,0
saluuuud,0,1
buwat,0,1
militan,0,1
kmi,0,1
cuman,0,1
berdoa,0,1
bermunajat,0,1
semoga,1,2
gusti,0,1
melindungi,0,1
berjuang,1,2
kebenaranamiiiiinn,0,1
istri,1,0
danjen,1,0
gak,2,0
trima,1,0
chocolatos,1,0
diremes,1,0
ma,1,0
kopasus,1,0
wkwkwk,0,1
nbusyet,0,1
dah,1,1
takuut,0,1
mendukung,1,2
tpf,2,5
penjahat,0,1
setuju,0,2
istiqomah,0,1
lagu,1,0
bos,1,0
kaya,1,0
no,1,0
way,1,0
masjid,0,1
resmikan,0,1
beliau,2,1
tp,0,1
garis,0,1
budaya,0,1
sejarah,1,1
tlh,0,1
ratusan,0,1
rilis,0,1
ulama,0,1
salaf,0,1
nusantara,0,1
tempo,0,1
abad,0,2
nkami,0,2
bangga,0,1
dungudipropokasi,1,0
dibujuk,1,0
bungkus,1,0
nasi,1,0
padang,1,0
uang,1,1
trans,1,0
rp50000dipertarukan,1,0
nyawaapakah,1,0
manusiawi,1,0
nmengorbankan,1,0
utk,3,2
merebut,1,0
belajar,1,0
pemberontakan,1,0
diindonesia,1,0
hebat,1,0
thn,1,0
gagal,1,0
berakir,1,0
gabung,1,0
nkri,1,0
manusia,1,0
ac,1,0
dc,1,0
pendirian,1,0
ntar,1,0
lgi,1,0
stress,1,0
bodat,1,0
terimakasih,0,1
kebaikkan,0,1
luput,0,1
liputan,0,2
cetak,0,1
elektronik,0,1
hehe,0,1
ehhem,0,1
cieee,0,1
ciee,0,1
mas,0,1
bro,0,2
oalh,1,0
srul,2,0
tua,1,0
manas,1,0
manasi,1,0
suasana,1,0
kecewa,1,0
kemarin,1,0
pilih,1,0
demokrat,1,0
memaksakan,1,0
kehendak,1,0
hsl,3,0
ditolak,1,0
curangpoeple,1,0
powerbaiknya,1,0
jgn,1,0
tindakan,1,0
inkonstisional,1,0
hancur,1,0
punah,1,0
servey,1,0
kpusiapapun,1,0
terpilih,1,0
ditetapkan,1,0
napa,1,0
prosen,1,0
dijadikan,1,0
tumbal,1,0
dun,1,0
legowo,0,2
lepas,0,1
jabatan,0,1
lantas,0,1
mengganti,0,1
nya,2,2
panjenengan,0,1
nsementara,0,1
indonesia,0,3
sdh,1,1
memilih,0,1
npak,0,3
fikiran,0,1
nalar,0,1
sehat,0,1
kalo,0,1
kali,0,2
elo,0,1
lolos,0,1
anggota,0,1
dewan,0,1
mentweetpun,1,0
abuabu,1,0
segarang,1,0
kedoknya,1,0
tertutup,1,0
wilayah,0,2
dkppbila,0,1
kecurangan,2,5
polisi,0,2
pidana,0,1
muter,0,2
amin,0,3
barokallah,0,1
fik,0,1
bumi,0,1
pertiwi,0,1
tragedi,0,1
coba,2,0
dibuktikan,1,0
ngomong,1,0
napapun,0,1
hasilnya,0,1
perhitungan,0,1
terima,0,1
nitu,0,1
kesatria,0,1
nsdh,0,1
dicontohkan,0,1
btp,0,1
hormat,0,1
pemimpin,0,1
n0,1,0
transparan,1,0
kecurangannya,1,0
lha,1,0
trus,1,0
kemaren,1,0
yaa,2,0
kesalahan,1,0
wayahe,2,0
mokel,1,0
blunder,0,1
ferdinand,0,1
ketakutan,0,1
mendefinisikan,0,1
fungsi,0,1
mengulur,0,1
wktu,0,1
amiiinnnn,0,1
kelamin,1,0
ganda,1,0
kyk,1,0
cacing,1,0
didalam,1,0
bertingkah,1,0
penjarakan,1,0
nmanusia,1,0
pengangguran,1,0
nhanya,1,0
rusuh,1,0
diceneralisasi,1,0
bohongmeligitimasi,1,0
adlh,1,0
trik,2,0
pembenaran,1,0
o2,1,0
curangfakta,1,0
telak,1,0
kecuranganmrk,1,0
kehilangan,1,0
akal,2,0
sehatganti,1,0
liwat,1,0
pelpres,1,0
kalahskarang,1,0
kekerasan,1,0
win,0,2
solution,0,1
maksud,0,1
loh,0,1
grey,0,1
kerennnn,0,1
lanjutkan,0,1
semangat,0,1
tersenyum,0,1
baca,0,1
menduga,0,1
pernyataan,0,1
hasto,0,1
mencoba,0,1
mengadu,0,1
domba,0,1
partai,0,4
lokal,0,1
duduk,0,2
dpra,0,1
diisi,0,1
dimana,0,1
letak,0,1
menggembosi,0,1
lokalnya,0,1
slah,0,1
calon,0,1
menggunakn,0,1
lembaga,0,1
negara,0,1
kepala,0,1
daerah,0,1
menghallalkan,0,1
join,0,1
pemechan,0,1
jalan,0,1
terbaik,0,1
nbang,0,1
in,0,1
ah,0,1
ga,3,0
pideo,1,0
promosi,1,0
tujuan,0,1
ngusulin,0,1
pembentukan,0,1
menunda,0,1
pengumuman,0,1
pemenang,0,1
tgl,0,1
mei,0,1
mencari,0,1
celah,0,1
membalikkan,0,1
inkonstitusional,0,1
mengaku,1,0
pakai,2,0
alasan,1,0
ngeles,2,0
akar,1,0
rumput,1,0
rasional,1,0
anarkis,1,0
tk,0,2
sutradara,0,1
rela,0,1
akalan,1,0
jkw,1,0
gabusah,1,0
denger,1,0
sakit,2,0
hati,2,0
baiknya,1,0
lerja,1,0
kerja,1,0
biarkan,1,1
persengkolan,0,1
parpol,0,2
mengalihkan,0,1
suara,1,1
mustahilhrsnya,0,1
detail,0,1
dikabkota,0,1
nkecamatan,0,1
desa,0,1
kampung,0,1
kecuranganbukan,0,1
marasi,0,1
dptdibuktikanjika,0,1
persengkokolandan,0,1
nyinyirlah,1,0
mengangkang,1,0
kandung,0,2
njika,0,1
perkosakita,0,1
durhaka,0,1
pemarah,1,0
mudah,1,0
stroke,1,0
salut,0,1
abang,1,1
medan,0,1
kenal,0,1
takut,0,1
hajar,0,1
pemerintah,0,1
nbukannya,1,0
ntu,1,0
tanah,1,0
leluhur,1,0
bpk,1,0
nyaqinlah,1,0
masyarakat,1,0
memahami,1,0
jasa,1,0
keluarga,1,0
kemaslahatan,1,0
umat,1,0
ukri,1,0
bocorkan,1,0
dipaksakan,1,0
tcoepnpr,1,0
2m9ku,1,0
sampeyan,1,0
jurrus,1,0
cawet,1,0
tweet,0,1
suaranya,1,0
kawan,1,0
mantap,0,1
dibawah,0,1
dikecamatan,0,1
dikawal,0,1
saksidikecamatan,0,1
direkap,0,1
disaksikan,0,1
jg,0,1
pemilupanwaskecamatandst,0,1
dikab,0,1
kotaprovensi,0,1
saksi,0,2
parpolditingkat,0,1
ditkt,0,1
tpspasti,0,1
persengkolankppspanwas,0,1
total,0,1
orgmrk,0,1
diproses,0,1
huk,0,1
mung,0,1
netral,0,1
smnjak,0,1
qc,0,1
masjidnya,0,1
yah,0,1
